Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
-19.438,0.78767,2.9306,16.23,-4.2542,-3.8461,2.5087,0.18594,8.0176,6.0695,Kaggle Complete EEG Dataset s00
-20.418,0.1576,3.2001,15.12,-3.6748,-3.998,3.0498,1.6878,7.0556,6.9767,Kaggle Complete EEG Dataset s00
-21.687,-0.5301,3.0162,13.563,-3.4024,-3.8957,2.9494,2.9031,5.6265,7.3869,Kaggle Complete EEG Dataset s00
-23.047,-1.186,2.3854,11.798,-3.4644,-3.4943,2.2196,3.6529,3.7607,7.2743,Kaggle Complete EEG Dataset s00
-24.243,-1.7405,1.4265,10.079,-3.8031,-2.8108,0.97696,3.8776,1.5641,6.7097,Kaggle Complete EEG Dataset s00
-24.997,-2.154,0.33128,8.6111,-4.309,-1.9181,-0.59533,3.63,-0.80982,5.8298,Kaggle Complete EEG Dataset s00
-25.096,-2.4084,-0.70053,7.5299,-4.8394,-0.9588,-2.2857,3.0453,-3.1729,4.8068,Kaggle Complete EEG Dataset s00
-24.455,-2.5097,-1.5057,6.8994,-5.2747,-0.10176,-3.9091,2.2794,-5.3457,3.7967,Kaggle Complete EEG Dataset s00
-23.155,-2.4779,-1.9986,6.7141,-5.524,0.48562,-5.3245,1.4608,-7.1812,2.912,Kaggle Complete EEG Dataset s00
-21.45,-2.3428,-2.1698,6.9358,-5.5413,0.6809,-6.4562,0.66288,-8.5801,2.2123,Kaggle Complete EEG Dataset s00
-19.719,-2.142,-2.0668,7.4881,-5.3165,0.43448,-7.2758,-0.10756,-9.5097,1.7008,Kaggle Complete EEG Dataset s00
-18.361,-1.9214,-1.7767,8.2749,-4.8654,-0.19784,-7.8064,-0.88946,-10.001,1.3389,Kaggle Complete EEG Dataset s00
-17.699,-1.7306,-1.409,9.1635,-4.2283,-1.0611,-8.1007,-1.7401,-10.16,1.0606,Kaggle Complete EEG Dataset s00
-17.917,-1.6213,-1.0888,9.9921,-3.4802,-1.9274,-8.2276,-2.7147,-10.148,0.79362,Kaggle Complete EEG Dataset s00
-18.96,-1.6233,-0.95254,10.588,-2.7077,-2.5412,-8.2611,-3.8428,-10.148,0.46387,Kaggle Complete EEG Dataset s00
-20.607,-1.7545,-1.1269,10.792,-2.0245,-2.6636,-8.2699,-5.1177,-10.34,0.01671,Kaggle Complete EEG Dataset s00
-22.498,-1.985,-1.7006,10.501,-1.5387,-2.1692,-8.2929,-6.4797,-10.85,-0.57844,Kaggle Complete EEG Dataset s00
-24.243,-2.2613,-2.6976,9.6995,-1.3369,-1.0425,-8.3422,-7.8303,-11.711,-1.3264,Kaggle Complete EEG Dataset s00
-25.525,-2.5157,-4.0496,8.4694,-1.4594,0.59411,-8.4004,-9.0226,-12.846,-2.195,Kaggle Complete EEG Dataset s00
-26.168,-2.6886,-5.5996,6.9757,-1.8861,2.5097,-8.4286,-9.8939,-14.091,-3.1263,Kaggle Complete EEG Dataset s00
-26.171,-2.7761,-7.1434,5.4258,-2.5405,4.4222,-8.3792,-10.297,-15.222,-4.0496,Kaggle Complete EEG Dataset s00
-25.693,-2.8218,-8.4653,4.0212,-3.3145,6.0572,-8.2224,-10.128,-16.024,-4.8812,Kaggle Complete EEG Dataset s00
-24.986,-2.9212,-9.4036,2.9018,-4.1,7.1901,-7.9421,-9.3459,-16.331,-5.56,Kaggle Complete EEG Dataset s00
-24.327,-3.1696,-9.8933,2.1205,-4.8178,7.6768,-7.549,-7.9999,-16.058,-6.0409,Kaggle Complete EEG Dataset s00
-23.925,-3.6148,-9.9456,1.6499,-5.4361,7.4598,-7.0678,-6.2046,-15.213,-6.3095,Kaggle Complete EEG Dataset s00
-23.862,-4.223,-9.6492,1.4064,-5.9608,6.564,-6.5196,-4.1157,-13.879,-6.3867,Kaggle Complete EEG Dataset s00
-24.082,-4.869,-9.1151,1.301,-6.4235,5.0855,-5.9133,-1.8938,-12.178,-6.2934,Kaggle Complete EEG Dataset s00
-24.403,-5.3719,-8.4351,1.2756,-6.8429,3.1885,-5.2329,0.3304,-10.243,-6.0586,Kaggle Complete EEG Dataset s00
-24.592,-5.5667,-7.6712,1.3373,-7.2104,1.0839,-4.4503,2.4491,-8.2104,-5.6999,Kaggle Complete EEG Dataset s00
-24.429,-5.3778,-6.8597,1.5445,-7.4857,-0.99135,-3.5425,4.3867,-6.2105,-5.2367,Kaggle Complete EEG Dataset s00
-23.809,-4.8591,-6.0482,1.966,-7.6183,-2.8325,-2.5219,6.0559,-4.3706,-4.693,Kaggle Complete EEG Dataset s00
-22.764,-4.2052,-5.3112,2.6365,-7.578,-4.3049,-1.452,7.3377,-2.8205,-4.122,Kaggle Complete EEG Dataset s00
-21.469,-3.6784,-4.7707,3.5069,-7.3834,-5.3928,-0.46313,8.0921,-1.6681,-3.6185,Kaggle Complete EEG Dataset s00
-20.187,-3.5413,-4.5694,4.4246,-7.0951,-6.1848,0.286,8.1723,-0.99359,-3.2904,Kaggle Complete EEG Dataset s00
-19.167,-3.9527,-4.8167,5.155,-6.8068,-6.8218,0.63501,7.473,-0.79901,-3.2486,Kaggle Complete EEG Dataset s00
-18.587,-4.9207,-5.5743,5.413,-6.5892,-7.437,0.4746,5.9917,-0.99791,-3.5429,Kaggle Complete EEG Dataset s00
-18.495,-6.31,-6.7899,4.9279,-6.4667,-8.0818,-0.20931,3.8524,-1.4109,-4.1461,Kaggle Complete EEG Dataset s00
-18.823,-7.8882,-8.3242,3.5033,-6.3932,-8.6924,-1.3304,1.3095,-1.8065,-4.9439,Kaggle Complete EEG Dataset s00
-19.438,-9.4027,-10.004,1.072,-6.2793,-9.1279,-2.7176,-1.3114,-1.9622,-5.7691,Kaggle Complete EEG Dataset s00
-20.181,-10.667,-11.661,-2.2786,-6.0242,-9.2286,-4.1647,-3.6708,-1.7179,-6.4495,Kaggle Complete EEG Dataset s00
-20.964,-11.585,-13.161,-6.2871,-5.5716,-8.9233,-5.4691,-5.496,-1.0347,-6.8629,Kaggle Complete EEG Dataset s00
-21.742,-12.156,-14.468,-10.535,-4.9115,-8.2476,-6.4844,-6.6356,-0.0055543,-6.9771,Kaggle Complete EEG Dataset s00
-22.519,-12.434,-15.572,-14.52,-4.1072,-7.3688,-7.133,-7.0667,1.1835,-6.8452,Kaggle Complete EEG Dataset s00
-23.315,-12.491,-16.485,-17.715,-3.2424,-6.5133,-7.408,-6.897,2.2948,-6.5782,Kaggle Complete EEG Dataset s00
-24.122,-12.394,-17.192,-19.686,-2.405,-5.8934,-7.3604,-6.3192,3.1077,-6.3095,Kaggle Complete EEG Dataset s00
-24.897,-12.195,-17.642,-20.191,-1.6526,-5.6547,-7.0749,-5.574,3.4731,-6.1406,Kaggle Complete EEG Dataset s00
-25.551,-11.951,-17.763,-19.23,-1.0097,-5.8051,-6.6483,-4.8953,3.3434,-6.1149,Kaggle Complete EEG Dataset s00
-25.979,-11.71,-17.49,-17.044,-0.48221,-6.2762,-6.1724,-4.4711,2.7726,-6.2291,Kaggle Complete EEG Dataset s00
-26.063,-11.502,-16.799,-14.051,-0.052687,-6.9426,-5.7017,-4.4,1.9186,-6.4157,Kaggle Complete EEG Dataset s00
-25.695,-11.307,-15.704,-10.735,0.2918,-7.668,-5.2505,-4.666,0.99762,-6.5862,Kaggle Complete EEG Dataset s00
-24.792,-11.046,-14.261,-7.5318,0.57286,-8.3421,-4.7852,-5.136,0.25605,-6.6441,Kaggle Complete EEG Dataset s00
-23.326,-10.577,-12.55,-4.7481,0.80347,-8.8939,-4.2387,-5.5809,-0.096358,-6.5138,Kaggle Complete EEG Dataset s00
-21.348,-9.7485,-10.654,-2.5258,0.98797,-9.2922,-3.546,-5.7551,0.07444,-6.1632,Kaggle Complete EEG Dataset s00
-19.023,-8.4646,-8.6681,-0.85587,1.1076,-9.5417,-2.6806,-5.4616,0.76844,-5.6163,Kaggle Complete EEG Dataset s00
-16.622,-6.7473,-6.6964,0.38882,1.1177,-9.6889,-1.6723,-4.6293,1.8559,-4.9632,Kaggle Complete EEG Dataset s00
-14.481,-4.7637,-4.8547,1.4028,0.95914,-9.8082,-0.63058,-3.3521,3.0753,-4.3327,Kaggle Complete EEG Dataset s00
-12.918,-2.792,-3.2555,2.404,0.5743,-9.9896,0.3001,-1.8663,4.1066,-3.8726,Kaggle Complete EEG Dataset s00
-12.174,-1.1582,-2.0097,3.5832,-0.069983,-10.323,0.9611,-0.49507,4.6406,-3.6989,Kaggle Complete EEG Dataset s00
-12.324,-0.12861,-1.1792,5.0514,-0.9593,-10.845,1.2273,0.44046,4.4547,-3.8791,Kaggle Complete EEG Dataset s00
-13.241,0.15363,-0.77502,6.7777,-2.0345,-11.542,1.0404,0.70874,3.4558,-4.4067,Kaggle Complete EEG Dataset s00
-14.628,-0.27768,-0.756,8.5602,-3.2035,-12.338,0.40586,0.21804,1.7046,-5.2157,Kaggle Complete EEG Dataset s00
-16.08,-1.2337,-1.035,10.047,-4.3695,-13.109,-0.61119,-0.9743,-0.60659,-6.1921,Kaggle Complete EEG Dataset s00
-17.171,-2.4143,-1.5089,10.813,-5.4433,-13.72,-1.905,-2.6826,-3.2053,-7.2167,Kaggle Complete EEG Dataset s00
-17.562,-3.4936,-2.0842,10.499,-6.3586,-14.05,-3.3574,-4.6453,-5.7781,-8.1674,Kaggle Complete EEG Dataset s00
-17.073,-4.1952,-2.696,8.9527,-7.0692,-14.025,-4.8433,-6.5714,-8.0396,-8.9571,Kaggle Complete EEG Dataset s00
-15.734,-4.3642,-3.3205,6.3125,-7.5463,-13.622,-6.2429,-8.1926,-9.7757,-9.5233,Kaggle Complete EEG Dataset s00
-13.779,-3.9984,-3.9735,3.0072,-7.7769,-12.877,-7.4485,-9.284,-10.876,-9.8515,Kaggle Complete EEG Dataset s00
-11.617,-3.2551,-4.693,-0.35799,-7.7726,-11.869,-8.3739,-9.6853,-11.363,-9.9705,Kaggle Complete EEG Dataset s00
-9.7257,-2.4064,-5.5347,-3.1726,-7.5809,-10.709,-8.9591,-9.323,-11.365,-9.9431,Kaggle Complete EEG Dataset s00
-8.5672,-1.7763,-6.5332,-4.9952,-7.2738,-9.5138,-9.1848,-8.2132,-11.097,-9.8611,Kaggle Complete EEG Dataset s00
-8.4516,-1.6511,-7.6981,-5.662,-6.9467,-8.3809,-9.0755,-6.466,-10.792,-9.8225,Kaggle Complete EEG Dataset s00
-9.4525,-2.2037,-8.993,-5.2914,-6.6872,-7.3719,-8.6877,-4.2876,-10.651,-9.8997,Kaggle Complete EEG Dataset s00
-11.431,-3.4379,-10.336,-4.2084,-6.5589,-6.5009,-8.1131,-1.9419,-10.781,-10.133,Kaggle Complete EEG Dataset s00
-14.042,-5.1811,-11.611,-2.8183,-6.5892,-5.7446,-7.4503,0.27308,-11.19,-10.509,Kaggle Complete EEG Dataset s00
-16.832,-7.121,-12.686,-1.4846,-6.7679,-5.0767,-6.8016,2.0822,-11.78,-10.985,Kaggle Complete EEG Dataset s00
-19.359,-8.8661,-13.433,-0.45793,-7.062,-4.4862,-6.2517,3.2814,-12.405,-11.492,Kaggle Complete EEG Dataset s00
-21.274,-10.045,-13.75,0.13625,-7.4209,-4.0073,-5.8551,3.7653,-12.895,-11.962,Kaggle Complete EEG Dataset s00
-22.375,-10.371,-13.575,0.28162,-7.7812,-3.7159,-5.6348,3.5337,-13.116,-12.34,Kaggle Complete EEG Dataset s00
-22.624,-9.7128,-12.894,0.038128,-8.068,-3.702,-5.5819,2.6715,-12.98,-12.583,Kaggle Complete EEG Dataset s00
-22.096,-8.1088,-11.746,-0.47974,-8.1877,-4.0243,-5.6594,1.3278,-12.461,-12.663,Kaggle Complete EEG Dataset s00
-20.951,-5.7694,-10.212,-1.103,-8.0378,-4.6768,-5.8216,-0.33915,-11.59,-12.56,Kaggle Complete EEG Dataset s00
-19.375,-3.0305,-8.4145,-1.619,-7.5333,-5.5757,-6.0208,-2.1735,-10.435,-12.253,Kaggle Complete EEG Dataset s00
-17.546,-0.30749,-6.5062,-1.7971,-6.6238,-6.5877,-6.2217,-4.0423,-9.1033,-11.741,Kaggle Complete EEG Dataset s00
-15.637,1.9862,-4.6518,-1.441,-5.3309,-7.5378,-6.4086,-5.8354,-7.7196,-11.053,Kaggle Complete EEG Dataset s00
-13.782,3.5087,-3.0209,-0.46884,-3.7483,-8.2956,-6.5831,-7.4611,-6.4051,-10.244,Kaggle Complete EEG Dataset s00
-12.098,4.0592,-1.7672,1.043,-2.0345,-8.7916,-6.7611,-8.8461,-5.2744,-9.4188,Kaggle Complete EEG Dataset s00
-10.671,3.626,-1.008,2.8364,-0.38564,-9.0209,-6.9656,-9.9375,-4.4096,-8.6965,Kaggle Complete EEG Dataset s00
